"loc","variant","date.start","date.end","v.mean","v.median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr"
"Gauteng","first 3 waves",2020-03-15,2021-08-29,105.927859235371,103.793660285613,90.8508332897672,118.740105254061,70.5258562453258,153.8944755727
"KwaZulu-Natal","first 3 waves",2020-03-15,2021-09-26,77.9175760381076,76.3755945477461,65.6230530858136,88.3044235232882,48.9965143747758,116.704204280718
"Western Cape","first 3 waves",2020-03-15,2021-09-26,113.434813315376,110.843791468361,98.4250243137483,125.61578002972,79.145939024612,163.091784164765
"Eastern Cape","first 3 waves",2020-03-15,2021-10-10,86.4506285130636,84.8790023542197,73.589532050913,97.468975927076,55.8733558760548,126.163584555765
"Limpopo","first 3 waves",2020-03-15,2021-09-26,59.6223455268855,57.3029899974338,47.0624062063089,69.7564526408648,32.8541005189061,99.3864953002058
"Mpumalanga","first 3 waves",2020-03-15,2021-09-26,64.2477713369069,62.0626475584117,52.1982229016809,73.7764552307272,37.9932962822015,103.957520477086
"North West","first 3 waves",2020-03-15,2021-09-26,79.269342164212,77.2457581959865,66.307191170215,90.0789564575671,49.9521996044666,119.721575895622
"Free State","first 3 waves",2020-03-15,2021-09-26,96.6595531970248,94.5118058591537,82.3127997930025,108.758670718479,63.1814646471252,142.18031196783
"Northern Cape","first 3 waves",2020-03-15,2021-09-26,121.989092374244,119.257941675359,105.212836999452,135.886864251577,82.9716818782517,175.93989626142
